ciudad,mmi,pga,pgv,psa03,psa06,psa10,psa30
Cali,0.714,0.622,0.527,0.671,0.652,0.63,0.623
Palmira,0.995,0.688,0.57,0.72,0.701,0.679,0.653
Buenaventura,1.019,0.695,0.575,0.725,0.706,0.684,0.657
Tulua,1.017,0.692,0.573,0.723,0.704,0.682,0.656
Pereira,1.014,0.689,0.571,0.72,0.702,0.68,0.655
Dosquebradas,1.014,0.689,0.571,0.721,0.702,0.68,0.655
Manizales,1.016,0.691,0.573,0.722,0.704,0.682,0.656
Armenia,1.011,0.689,0.571,0.72,0.702,0.68,0.654
Quibdo,1.02,0.694,0.574,0.724,0.706,0.683,0.657
Ibague,0.759,0.626,0.531,0.674,0.656,0.634,0.626
Popayan,1.016,0.707,0.572,0.737,0.713,0.689,0.659
Bogota,0.673,0.532,0.443,0.58,0.592,0.534,0.527
Cartago,1.015,0.689,0.571,0.72,0.702,0.68,0.654
Candelaria,0.971,0.682,0.566,0.715,0.696,0.674,0.65
