ADM1_NAME,km2_desliz,km2_liq,px_cambio_sar,proxy_econ
Amazonas,0.0,0.0,0,0.0
Antioquia,0.0,0.0,0,0.7
Arauca,0.0,0.0,0,0.0
Atlantico,0.0,0.0,0,0.0
Bolivar,0.0,0.0,0,0.0
Boyaca,0.0,0.0,0,0.1
Buenaventura,0.0,0.0,0,0.0
Caldas,0.0,0.0,0,0.1
Caqueta,0.0,0.0,0,0.0
Casanare,0.0,0.0,0,0.0
Cauca,0.0,0.0,0,0.1
Cesar,0.0,0.0,0,0.0
Choco,0.0,0.0,0,0.3
Cordoba,0.0,0.0,0,0.0
Cundinamarca,0.0,0.0,0,0.7
Guainia,0.0,0.0,0,0.0
Guajira,0.0,0.0,0,0.0
Guaviare,0.0,0.0,0,0.0
Huila,0.0,0.0,0,0.1
Magdalena,0.0,0.0,0,0.0
Meta,0.0,0.0,0,0.3
Narino,0.0,0.0,0,0.1
Norte De Santander,0.0,0.0,0,0.0
Putumayo,0.0,0.0,0,0.0
Quindio,0.0,0.0,0,0.1
Risaralda,0.0,0.0,0,0.1
San Andres Y Providencia,0.0,0.0,0,0.0
Santander,0.0,0.0,0,0.3
Sucre,0.0,0.0,0,0.0
Tolima,0.0,0.0,0,0.2
Valle Del Cauca,0.0,0.0,0,0.5
Vaupes,0.0,0.0,0,0.0
Vichada,0.0,0.0,0,0.0
